Date;HousingPriceIndex;ExchangeRate;InterestRateonMorgages;MorgageCreditVolume;Inflation;Unemployment;HouseSales;GDP-PC
2015-01-01;0,147;0,100;11,006;0,129;0,072;10,500;-0,054;-0,030
2015-02-01;0,156;0,159;10,798;0,143;0,075;10,700;0,068;-0,027
2015-03-01;0,156;0,197;10,818;0,166;0,076;10,500;0,226;-0,024
2015-04-01;0,166;0,202;10,965;0,185;0,079;10,500;0,401;-0,022
2015-05-01;0,162;0,172;11,490;0,190;0,081;10,200;0,182;-0,019
2015-06-01;0,170;0,209;11,865;0,198;0,072;10,200;0,201;-0,016
2015-07-01;0,161;0,178;12,280;0,194;0,068;10,100;0,108;-0,014
2015-08-01;0,151;0,222;12,585;0,192;0,071;10,100;0,090;-0,011
2015-09-01;0,153;0,223;13,573;0,177;0,079;10,200;-0,183;-0,008
2015-10-01;0,153;0,134;14,302;0,167;0,076;10,200;0,136;-0,005
2015-11-01;0,165;0,084;14,125;0,155;0,081;10,200;0,059;-0,003
2015-12-01;0,151;0,102;14,005;0,145;0,088;10,400;0,124;0,000
2016-01-01;0,153;0,113;14,272;0,144;0,096;10,200;0,055;-0,009
2016-02-01;0,143;0,091;14,445;0,134;0,088;10,100;0,166;-0,018
2016-03-01;0,134;0,016;14,453;0,121;0,075;10,200;0,017;-0,027
2016-04-01;0,130;-0,056;14,326;0,110;0,066;10,100;-0,108;-0,036
2016-05-01;0,132;-0,001;13,958;0,106;0,066;10,300;0,144;-0,045
2016-06-01;0,122;0,016;13,835;0,103;0,076;10,700;-0,036;-0,054
2016-07-01;0,119;0,014;13,668;0,100;0,088;11,100;-0,133;-0,063
2016-08-01;0,132;-0,015;12,858;0,099;0,080;11,100;0,011;-0,072
2016-09-01;0,124;0,007;12,088;0,110;0,073;11,600;0,176;-0,081
2016-10-01;0,121;0,061;12,115;0,128;0,072;11,500;0,220;-0,090
2016-11-01;0,110;0,153;11,693;0,148;0,070;11,600;0,245;-0,099
2016-12-01;0,119;0,192;11,424;0,159;0,085;12,100;-0,030;-0,100
2017-01-01;0,115;0,280;11,453;0,167;0,092;12,000;0,104;-0,094
2017-02-01;0,120;0,242;11,378;0,177;0,101;11,900;-0,046;-0,088
2017-03-01;0,123;0,237;11,056;0,194;0,113;11,900;0,076;-0,082
2017-04-01;0,124;0,234;11,275;0,207;0,119;11,600;0,108;-0,075
2017-05-01;0,114;0,162;11,545;0,211;0,117;11,100;-0,055;-0,069
2017-06-01;0,114;0,077;11,720;0,208;0,109;11,000;-0,079;-0,062
2017-07-01;0,112;0,020;12,015;0,220;0,098;10,600;0,426;-0,055
2017-08-01;0,087;-0,060;12,490;0,221;0,107;10,500;0,050;-0,049
2017-09-01;0,102;-0,056;12,868;0,215;0,112;10,300;0,374;-0,042
2017-10-01;0,102;-0,001;13,045;0,201;0,119;10,300;-0,076;-0,035
2017-11-01;0,095;0,062;13,118;0,187;0,130;10,100;-0,065;-0,027
2017-12-01;0,094;0,080;13,524;0,172;0,119;9,900;-0,071;-0,024
2018-01-01;0,086;0,072;14,140;0,162;0,103;9,800;0,003;-0,030
2018-02-01;0,079;0,061;14,683;0,146;0,103;10,000;-0,033;-0,036
2018-03-01;0,078;0,105;14,788;0,122;0,102;10,000;-0,101;-0,042
2018-04-01;0,074;0,169;14,830;0,102;0,108;10,200;-0,086;-0,048
2018-05-01;0,087;0,205;13,878;0,099;0,121;10,600;0,048;-0,054
2018-06-01;0,091;0,193;13,098;0,109;0,154;10,700;0,256;-0,059
2018-07-01;0,082;0,234;16,860;0,100;0,158;10,800;0,068;-0,065
2018-08-01;0,088;0,519;18,992;0,075;0,179;11,200;-0,126;-0,071
2018-09-01;0,070;0,685;25,180;0,051;0,245;11,500;-0,140;-0,077
2018-10-01;0,076;0,510;28,948;0,028;0,252;11,600;0,313;-0,084
2018-11-01;0,075;0,325;28,630;0,006;0,216;12,200;-0,312;-0,090
2018-12-01;0,055;0,202;27,823;-0,016;0,203;12,700;0,048;-0,100
2019-01-01;0,047;0,160;26,220;-0,032;0,204;13,600;-0,300;-0,101
2019-02-01;0,041;0,108;22,983;-0,044;0,197;13,800;-0,253;-0,102
2019-03-01;0,035;-0,050;18,158;-0,047;0,197;13,900;-0,129;-0,104
2019-04-01;0,035;-0,099;17,700;-0,050;0,195;13,800;-0,205;-0,105
2019-05-01;0,030;0,032;20,452;-0,066;0,187;13,700;-0,329;-0,106
2019-06-01;0,012;0,082;21,808;-0,095;0,157;13,700;-0,592;-0,108
2019-07-01;0,025;0,069;21,060;-0,107;0,166;13,900;-0,324;-0,109
2019-08-01;0,057;0,048;14,152;-0,082;0,150;14,100;-0,177;-0,110
2019-09-01;0,061;0,086;12,983;-0,043;0,093;14,100;-0,147;-0,112
2019-10-01;0,063;0,063;13,118;-0,004;0,086;13,500;-0,329;-0,113
2019-11-01;0,072;-0,001;12,964;0,025;0,106;13,300;0,198;-0,114
2019-12-01;0,098;-0,035;12,685;0,059;0,118;13,400;0,080;-0,107
2020-01-01;0,128;0,018;11,882;0,090;0,122;13,000;0,161;-0,090
2020-02-01;0,152;0,066;11,425;0,122;0,124;12,600;0,143;-0,074
2020-03-01;0,168;0,123;11,403;0,138;0,119;13,000;-0,228;-0,056
2020-04-01;0,163;0,194;11,723;0,137;0,109;13,500;-0,607;-0,039
2020-05-01;0,169;0,202;11,234;0,144;0,114;13,600;-0,547;-0,021
2020-06-01;0,256;0,188;9,303;0,274;0,126;13,700;1,520;-0,003
2020-07-01;0,295;0,174;9,114;0,432;0,118;14,200;0,745;0,015
2020-08-01;0,278;0,225;11,085;0,474;0,118;12,900;0,283;0,034
2020-09-01;0,282;0,242;14,155;0,441;0,117;12,600;-0,195;0,054
2020-10-01;0,296;0,247;15,066;0,409;0,119;13,100;-0,263;0,073
2020-11-01;0,323;0,174;15,675;0,393;0,140;13,100;-0,250;0,093
2020-12-01;0,321;0,111;18,193;0,361;0,146;12,600;-0,511;0,102
2021-01-01;0,308;0,086;18,388;0,334;0,150;12,300;-0,382;0,102
2021-02-01;0,317;0,032;17,985;0,309;0,156;13,200;-0,337;0,101
2021-03-01;0,319;0,052;17,735;0,291;0,162;12,800;-0,021;0,100
2021-04-01;0,358;0,086;18,134;0,292;0,171;13,400;0,967;0,099
2021-05-01;0,363;0,059;17,835;0,287;0,166;13,400;0,080;0,098
2021-06-01;0,310;0,074;17,900;0,178;0,175;11,000;-0,316;0,097
2021-07-01;0,307;0,116;17,934;0,061;0,190;11,600;-0,519;0,096
2021-08-01;0,327;0,146;17,863;0,024;0,193;12,000;-0,182;0,096
2021-09-01;0,364;0,204;17,895;0,025;0,196;11,300;0,063;0,095
2021-10-01;0,390;0,198;17,820;0,031;0,199;11,100;0,134;0,094
2021-11-01;0,446;0,290;17,098;0,049;0,213;11,100;0,520;0,093
2021-12-01;0,635;0,622;17,308;0,079;0,361;11,000;1,080;0,013
2022-01-01;0,816;0,573;18,245;0,091;0,487;11,100;0,222;0,011
2022-02-01;0,902;0,581;17,798;0,105;0,544;10,700;0,168;0,009
2022-03-01;1,043;0,719;17,968;0,129;0,611;11,100;0,149;0,007
2022-04-01;1,208;0,725;18,238;0,166;0,700;10,900;0,247;0,005
2022-05-01;1,439;0,709;18,420;0,210;0,735;10,900;0,805;0,003
2022-06-01;1,640;0,612;18,178;0,255;0,786;10,200;0,116;0,001
2022-07-01;1,733;0,285;18,304;0,263;0,796;10,200;-0,122;-0,001
2022-08-01;1,814;0,331;18,610;0,266;0,802;9,800;-0,085;-0,002
2022-09-01;1,864;0,342;20,258;0,256;0,835;10,100;-0,182;-0,004
2022-10-01;1,868;0,275;20,983;0,248;0,855;10,300;-0,220;-0,006
2022-11-01;1,765;0,266;21,575;0,223;0,844;10,100;-0,329;-0,008
2022-12-01;1,519;0,193;20,564;0,206;0,643;10,300;0,015;0,069
2023-01-01;1,467;0,106;21,650;0,207;0,577;9,600;0,012;0,072
2023-02-01;1,427;0,083;21,013;0,210;0,552;10,000;-0,188;0,075
2023-03-01;1,393;0,054;17,606;0,257;0,505;10,100;-0,142;0,078
2023-04-01;1,220;0,056;18,588;0,272;0,437;10,100;-0,260;0,081
2023-05-01;1,045;0,060;18,563;0,297;0,396;9,600;0,047;0,083
2023-06-01;0,931;0,241;21,294;0,256;0,382;9,300;-0,421;0,086
2023-07-01;0,921;0,418;32,240;0,252;0,478;9,300;0,103;0,089
2023-08-01;0,937;0,437;36,220;0,249;0,589;9,200;-0,095;0,092
2023-09-01;0,953;0,431;40,246;0,240;0,615;9,100;-0,152;0,094
2023-10-01;0,919;0,465;41,528;0,228;0,614;8,600;-0,106;0,097
2023-11-01;0,870;0,481;42,150;0,219;0,620;9,000;-0,185;0,100
2023-12-01;0,831;0,474;42,088;0,201;0,648;8,800;-0,342;0,102
2024-01-01;0,702;0,301;41,578;0,189;0,649;9,000;-0,082;0,102
2024-02-01;0,657;0,162;40,965;0,177;0,671;8,700;0,218;0,101
2024-03-01;0,553;0,185;42,302;0,121;0,685;8,600;0,046;0,100
2024-04-01;0,516;0,198;44,720;0,073;0,698;8,600;-0,106;0,100
2024-05-01;0,513;0,158;44,694;0,024;0,754;8,500;0,033;0,099
2024-06-01;0,464;0,136;44,483;0,011;0,716;9,200;-0,018;0,098
2024-07-01;0,387;0,131;44,098;0,013;0,618;8,800;0,289;0,098
2024-08-01;0,344;0,119;43,530;0,017;0,520;8,600;0,187;0,097
2024-09-01;0,274;0,106;43,150;0,041;0,494;8,600;0,471;0,096
